Date,Campus,Block,Count,Recorded by,Source,When entered
2026-01-16,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 87,
2026-02-02,Fayetteville,7:30 AM - Noon,28,,LimeSurvey 112,
2026-02-02,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 112,
2026-02-03,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 112,
2026-02-03,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 112,
2026-02-04,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 112,
2026-02-04,Fayetteville,Noon - 4:30 PM,25,,LimeSurvey 112,
2026-02-05,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 112,
2026-02-05,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 112,
2026-02-06,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 112,
2026-02-09,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 115,
2026-02-09,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 115,
2026-02-10,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 115,
2026-02-10,Fayetteville,Noon - 4:30 PM,21,,LimeSurvey 115,
2026-02-11,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 115,
2026-02-11,Fayetteville,Noon - 4:30 PM,21,,LimeSurvey 115,
2026-02-12,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 115,
2026-02-12,Fayetteville,Noon - 4:30 PM,26,,LimeSurvey 115,
2026-02-13,Fayetteville,Noon - 4:30 PM,19,,LimeSurvey 115,
2026-02-16,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 118,
2026-02-16,Fayetteville,Noon - 4:30 PM,21,,LimeSurvey 118,
2026-02-17,Fayetteville,7:30 AM - Noon,13,,LimeSurvey 118,
2026-02-17,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 118,
2026-02-18,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 118,
2026-02-18,Fayetteville,Noon - 4:30 PM,8,,LimeSurvey 118,
2026-02-19,Fayetteville,7:30 AM - Noon,8,,LimeSurvey 118,
2026-02-19,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 118,
2026-02-20,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 118,
2026-02-20,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 118,
2026-02-23,Fayetteville,7:30 AM - Noon,25,,LimeSurvey 120,
2026-02-23,Fayetteville,Noon - 4:30 PM,17,,LimeSurvey 120,
2026-02-24,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 120,
2026-02-24,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 120,
2026-02-25,Fayetteville,7:30 AM - Noon,10,,LimeSurvey 120,
2026-02-25,Fayetteville,Noon - 4:30 PM,25,,LimeSurvey 120,
2026-02-26,Fayetteville,7:30 AM - Noon,25,,LimeSurvey 120,
